Department ID,Department Name,List of Batches
CSE,Computer Sience and Engineering
CSEAI,Computer Sience and Engineering and Artificial Intelligence
CSEAIML,Computer Sience and Engineering and Artificial Intelligence and Machine Learning
CSEIOTCSBT,Computer Sience and Engineering and Internet of Things and Cyber security and Blockchain Technology
IT,Information Technology
ECE,Electrical and Communications Engineering
ME,Mechanical Engineering
